Baliset,Holophonor,Gaffophone
277:98:0.5:4,rest:8,93:131:0.9:4
185:98:0.5:1,,185:131:0.9:4
415:196:0.5:1,,93:131:0.9:4
110:49:0.5:1,,rest:4
247:98:0.5:1,,93:131:0.9:4
277:98:0.5:3,,147:131:0.9:1
110:49:0.5:1,,139:131:0.9:1
277:98:0.5:3,,247:131:0.9:1
110:49:0.5:1,,220:131:0.9:1
277:98:0.5:3,,93:131:0.9:2
185:98:0.5:1,,73:131:0.9:2
110:49:0.5:1,,82:131:0.9:2
185:98:0.5:1,,73:131:0.9:2
3:2:0.5:1,,93:131:0.9:4
110:49:0.5:1,,185:131:0.9:4
185:98:0.5:4,,93:131:0.9:4
185:98:0.5:1,,185:131:0.9:4
247:98:0.5:1,,185:131:0.9:4
110:49:0.5:1,,1:1:0.9:2
415:196:0.5:1,,123:131:0.9:2
277:98:0.5:4,,93:131:0.9:4
185:98:0.5:1,,93:131:0.9:4
415:196:0.5:1,,82:131:0.9:4
110:49:0.5:1,,73:131:0.9:4
247:98:0.5:1,,69:131:0.9:4
277:98:0.5:3,,165:131:0.9:4
110:49:0.5:1,,123:131:0.9:4
277:98:0.5:3,,110:131:0.9:4
110:49:0.5:1,,104:131:0.9:4
277:98:0.5:3,,139:131:0.9:2
185:98:0.5:1,,185:131:0.9:2
110:49:0.5:1,,165:131:0.9:4
185:98:0.5:1,,147:131:0.9:4
3:2:0.5:1,,139:131:0.9:8
110:49:0.5:1,,123:131:0.9:4
185:98:0.5:6,,110:131:0.9:4
185:98:0.5:2,,98:131:0.9:4
415:196:0.5:2,,87:131:0.9:4
110:49:0.5:2,,78:131:0.9:4
247:98:0.5:2,,69:131:0.9:4
277:98:0.5:1,,93:131:0.9:4
587:196:0.5:1,,185:131:0.9:4
659:196:0.6:2,,93:131:0.9:4
587:196:0.6:1,,185:131:0.9:4
277:98:0.6:2,,93:131:0.9:8
587:196:0.6:1,,93:131:0.9:4
659:196:0.6:2,,247:131:0.9:4
185:49:0.6:3,,93:131:0.9:4
659:196:0.6:1,,220:131:0.9:4
587:196:0.6:2,,93:131:0.9:4
659:196:0.6:1,,185:131:0.9:4
185:49:0.6:1,,93:131:0.9:8
831:196:0.7:3,,93:131:0.9:2
185:49:0.7:1,,rest:6
277:98:0.7:1,,93:131:0.9:8
110:49:0.7:1,,93:131:0.9:8
415:196:0.7:1,,93:131:0.9:8
185:98:0.7:1,,93:131:0.9:8
415:196:0.5:2,,93:131:0.9:4
110:49:0.5:2,,rest:4
247:98:0.5:2,,93:131:0.9:2
277:98:0.5:1,,rest:2
587:196:0.5:1,,93:131:0.9:2
659:196:0.5:3,,rest:2
587:196:0.5:1,,93:131:0.9:8
277:98:0.5:2,,
587:196:0.5:1,,
659:196:0.5:1,,
185:49:0.6:3,,
659:196:0.6:1,,
587:196:0.6:2,,
659:196:0.6:1,,
185:49:0.6:1,,
4:1:0.7:3,,
587:196:0.7:1,,
247:98:0.7:2,,
587:196:0.7:1,,
831:196:0.7:1,,
831:196:0.8:3,,
311:98:0.8:1,,
831:196:0.8:3,,
277:98:0.8:1,,
277:98:0.9:4,,
185:98:0.9:1,,
415:196:0.9:1,,
110:49:0.9:1,,
247:98:0.9:1,,
277:98:0.9:3,,
110:49:0.9:1,,
277:98:0.9:3,,
110:49:0.9:1,,
277:98:0.9:3,,
185:98:0.9:1,,
110:49:0.9:1,,
349:196:0.9:1,,
3:2:0.9:1,,
110:49:0.9:1,,
185:98:0.9:4,,
185:98:0.9:1,,
415:196:0.9:1,,
110:49:0.9:1,,
247:98:0.9:1,,
277:98:0.9:4,,
185:98:0.9:1,,
415:196:0.9:1,,
110:49:0.9:1,,
247:98:0.9:1,,
277:98:0.9:3,,
110:49:0.9:1,,
277:98:0.9:3,,
185:98:0.9:1,,
277:98:0.9:3,,
185:98:0.9:1,,
110:49:0.9:1,,
349:196:0.9:1,,
3:2:0.9:1,,
110:49:0.9:1,,
185:98:0.9:2,,
rest:4,,
277:98:0.9:2,,
311:98:0.9:2,,
277:98:0.9:2,,
415:196:0.9:2,,
233:98:0.9:1,,
247:98:0.9:1,,
277:98:0.9:6,,
277:98:0.9:2,,
311:98:0.9:2,,
277:98:0.9:2,,
415:196:0.9:2,,
233:98:0.9:1,,
247:98:0.9:1,,
277:98:0.9:6,,
277:98:0.9:2,,
311:98:0.9:2,,
277:98:0.9:2,,
415:196:0.9:2,,
233:98:0.9:2,,
185:98:0.9:2,,
rest:2,,
185:98:0.9:2,,
rest:2,,
185:98:0.9:8,,
